N,iteration,monomers,imines,aldehydes
400,1,400,1091,109
500,1,500,1384,116
400,2,400,1082,118
300,1,300,809,91
500,2,500,1369,131
400,3,400,1094,106
500,3,500,1381,119
300,2,300,793,107
100,1,100,252,48
400,4,400,1085,115
500,4,500,1374,126
300,3,300,817,83
400,5,400,1086,114
500,5,500,1379,121
200,1,200,520,80
100,2,100,253,47
300,4,300,815,85
400,6,400,1083,117
500,6,500,1381,119
300,5,300,805,95
400,7,400,1097,103
500,7,500,1381,119
100,3,100,251,49
200,2,200,519,81
300,6,300,796,104
400,8,400,1096,104
500,8,500,1376,124
300,7,300,813,87
400,9,400,1073,127
100,4,100,250,50
500,9,500,1378,122
200,3,200,531,69
400,10,400,1091,109
300,8,300,806,94
500,10,500,1373,127
100,5,100,253,47
200,4,200,532,68
300,9,300,815,85
100,6,100,252,48
200,5,200,518,82
300,10,300,801,99
100,7,100,247,53
200,6,200,524,76
100,8,100,239,61
200,7,200,523,77
100,9,100,252,48
200,8,200,530,70
100,10,100,248,52
200,9,200,525,75
200,10,200,537,63
800,1,800,2243,157
900,1,900,2536,164
600,1,600,1658,142
1000,1,1000,2820,180
700,1,700,1953,147
900,2,900,2549,151
800,2,800,2247,153
1000,2,1000,2813,187
600,2,600,1656,144
700,2,700,1943,157
900,3,900,2513,187
800,3,800,2235,165
1000,3,1000,2825,175
600,3,600,1669,131
700,3,700,1954,146
900,4,900,2529,171
1000,4,1000,2815,185
800,4,800,2248,152
700,4,700,1941,159
900,5,900,2533,167
600,4,600,1669,131
1000,5,1000,2816,184
800,5,800,2240,160
900,6,900,2526,174
700,5,700,1947,153
1000,6,1000,2806,194
600,5,600,1658,142
900,7,900,2532,168
800,6,800,2236,164
1000,7,1000,2812,188
700,6,700,1951,149
900,8,900,2521,179
600,6,600,1652,148
800,7,800,2221,179
1000,8,1000,2812,188
900,9,900,2504,196
700,7,700,1971,129
600,7,600,1675,125
800,8,800,2230,170
1000,9,1000,2811,189
900,10,900,2516,184
700,8,700,1949,151
800,9,800,2239,161
600,8,600,1654,146
1000,10,1000,2816,184
700,9,700,1939,161
800,10,800,2248,152
600,9,600,1671,129
700,10,700,1942,158
600,10,600,1674,126
1400,1,1400,3975,225
1500,1,1500,4276,224
1300,1,1300,3679,221
1100,1,1100,3096,204
1400,2,1400,3959,241
1500,2,1500,4284,216
1200,1,1200,3420,180
1400,3,1400,3981,219
1500,3,1500,4265,235
1100,2,1100,3125,175
1300,2,1300,3666,234
1200,2,1200,3407,193
1400,4,1400,3980,220
1500,4,1500,4296,204
1100,3,1100,3115,185
1300,3,1300,3698,202
1400,5,1400,3999,201
1200,3,1200,3394,206
1500,5,1500,4285,215
1300,4,1300,3682,218
1400,6,1400,3991,209
1100,4,1100,3096,204
1500,6,1500,4266,234
1200,4,1200,3394,206
1400,7,1400,3973,227
1500,7,1500,4264,236
1300,5,1300,3674,226
1100,5,1100,3108,192
1200,5,1200,3401,199
1400,8,1400,3986,214
1500,8,1500,4271,229
1300,6,1300,3670,230
1100,6,1100,3113,187
1400,9,1400,3964,236
1200,6,1200,3395,205
1500,9,1500,4264,236
1400,10,1400,3987,213
1300,7,1300,3681,219
1500,10,1500,4268,232
1100,7,1100,3096,204
1200,7,1200,3399,201
1300,8,1300,3681,219
1100,8,1100,3115,185
1200,8,1200,3402,198
1300,9,1300,3669,231
1100,9,1100,3092,208
1200,9,1200,3389,211
1100,10,1100,3111,189
1300,10,1300,3664,236
1200,10,1200,3413,187
1900,1,1900,5458,242
2000,1,2000,5736,264
1900,2,1900,5422,278
2000,2,2000,5741,259
1800,1,1800,5167,233
1700,1,1700,4870,230
1600,1,1600,4582,218
1900,3,1900,5435,265
2000,3,2000,5750,250
1800,2,1800,5176,224
1700,2,1700,4871,229
1600,2,1600,4575,225
1900,4,1900,5449,251
2000,4,2000,5737,263
1800,3,1800,5152,248
1900,5,1900,5457,243
1700,3,1700,4844,256
2000,5,2000,5737,263
1600,3,1600,4563,237
1900,6,1900,5418,282
1800,4,1800,5159,241
2000,6,2000,5743,257
1700,4,1700,4856,244
1600,4,1600,4563,237
1900,7,1900,5446,254
2000,7,2000,5723,277
1800,5,1800,5139,261
1700,5,1700,4852,248
1900,8,1900,5449,251
1600,5,1600,4559,241
2000,8,2000,5752,248
1800,6,1800,5137,263
1900,9,1900,5455,245
1700,6,1700,4849,251
2000,9,2000,5736,264
1600,6,1600,4572,228
1900,10,1900,5455,245
1800,7,1800,5151,249
2000,10,2000,5753,247
1700,7,1700,4870,230
1600,7,1600,4565,235
1800,8,1800,5170,230
1700,8,1700,4847,253
1600,8,1600,4544,256
1800,9,1800,5150,250
1700,9,1700,4850,250
1600,9,1600,4564,236
1800,10,1800,5156,244
1700,10,1700,4853,247
1600,10,1600,4560,240
2400,1,2400,6929,271
2500,1,2500,7165,335
2300,1,2300,6610,290
2100,1,2100,6024,276
2200,1,2200,6329,271
2400,2,2400,6882,318
2500,2,2500,7202,298
2300,2,2300,6619,281
2400,3,2400,6929,271
2500,3,2500,7213,287
2100,2,2100,6012,288
2200,2,2200,6332,268
2400,4,2400,6912,288
2500,4,2500,7165,335
2300,3,2300,6614,286
2100,3,2100,6030,270
2200,3,2200,6314,286
2400,5,2400,6912,288
2500,5,2500,7213,287
2300,4,2300,6626,274
2100,4,2100,6017,283
2200,4,2200,6317,283
2400,6,2400,6903,297
2500,6,2500,7213,287
2300,5,2300,6623,277
2100,5,2100,6048,252
2400,7,2400,6915,285
2200,5,2200,6307,293
2500,7,2500,7201,299
2300,6,2300,6610,290
2400,8,2400,6894,306
2500,8,2500,7182,318
2100,6,2100,6048,252
2200,6,2200,6334,266
2400,9,2400,6913,287
2300,7,2300,6641,259
2500,9,2500,7217,283
2100,7,2100,6026,274
2200,7,2200,6310,290
2400,10,2400,6935,265
2500,10,2500,7227,273
2300,8,2300,6632,268
2100,8,2100,6029,271
2200,8,2200,6303,297
2300,9,2300,6597,303
2100,9,2100,6018,282
2200,9,2200,6332,268
2300,10,2300,6603,297
2200,10,2200,6315,285
2100,10,2100,6038,262
2900,1,2900,8406,294
3000,1,3000,8668,332
2600,1,2600,7491,309
2800,1,2800,8086,314
2700,1,2700,7778,322
2900,2,2900,8391,309
3000,2,3000,8661,339
2600,2,2600,7505,295
2900,3,2900,8358,342
2800,2,2800,8099,301
2700,2,2700,7779,321
3000,3,3000,8690,310
2900,4,2900,8357,343
3000,4,3000,8681,319
2800,3,2800,8086,314
2700,3,2700,7794,306
2600,3,2600,7471,329
2900,5,2900,8368,332
3000,5,3000,8676,324
2800,4,2800,8104,296
2700,4,2700,7794,306
2600,4,2600,7504,296
2900,6,2900,8377,323
3000,6,3000,8671,329
2800,5,2800,8079,321
2700,5,2700,7776,324
2600,5,2600,7492,308
2900,7,2900,8369,331
3000,7,3000,8659,341
2900,8,2900,8395,305
2800,6,2800,8089,311
2700,6,2700,7802,298
3000,8,3000,8678,322
2600,6,2600,7497,303
2900,9,2900,8384,316
3000,9,3000,8686,314
2800,7,2800,8085,315
2700,7,2700,7808,292
2600,7,2600,7526,274
2900,10,2900,8371,329
3000,10,3000,8663,337
2800,8,2800,8102,298
2700,8,2700,7803,297
2600,8,2600,7463,337
2800,9,2800,8062,338
2700,9,2700,7789,311
2600,9,2600,7512,288
2800,10,2800,8087,313
2700,10,2700,7797,303
2600,10,2600,7505,295
3200,1,3200,9262,338
3100,1,3100,8943,357
3300,1,3300,9566,334
3400,1,3400,9843,357
3500,1,3500,10155,345
3200,2,3200,9257,343
3100,2,3100,8975,325
3300,2,3300,9545,355
3400,2,3400,9847,353
3500,2,3500,10164,336
3200,3,3200,9278,322
3100,3,3100,8986,314
3300,3,3300,9550,350
3400,3,3400,9853,347
3200,4,3200,9261,339
3500,3,3500,10135,365
3100,4,3100,8972,328
3200,5,3200,9253,347
3300,4,3300,9538,362
3400,4,3400,9838,362
3500,4,3500,10159,341
3100,5,3100,8964,336
3200,6,3200,9266,334
3300,5,3300,9566,334
3400,5,3400,9847,353
3100,6,3100,8982,318
3500,5,3500,10140,360
3200,7,3200,9259,341
3100,7,3100,8941,359
3300,6,3300,9546,354
3400,6,3400,9851,349
3200,8,3200,9250,350
3500,6,3500,10163,337
3100,8,3100,8947,353
3300,7,3300,9551,349
3400,7,3400,9866,334
3200,9,3200,9264,336
3500,7,3500,10144,356
3100,9,3100,8967,333
3300,8,3300,9541,359
3200,10,3200,9258,342
3400,8,3400,9847,353
3100,10,3100,8972,328
3500,8,3500,10159,341
3300,9,3300,9531,369
3400,9,3400,9830,370
3700,1,3700,10742,358
3800,1,3800,11035,365
3900,1,3900,11317,383
3600,1,3600,10460,340
3500,9,3500,10144,356
3300,10,3300,9560,340
3700,2,3700,10770,330
3800,2,3800,11028,372
3900,2,3900,11344,356
4000,1,4000,11610,390
3400,10,3400,9848,352
3600,2,3600,10456,344
3700,3,3700,10746,354
3500,10,3500,10115,385
3800,3,3800,11034,366
3900,3,3900,11295,405
3600,3,3600,10442,358
4000,2,4000,11641,359
3700,4,3700,10704,396
3800,4,3800,11045,355
3900,4,3900,11310,390
3600,4,3600,10447,353
3700,5,3700,10770,330
3800,5,3800,11007,393
4000,3,4000,11629,371
3900,5,3900,11323,377
3600,5,3600,10445,355
3700,6,3700,10744,356
3800,6,3800,11040,360
3900,6,3900,11307,393
4000,4,4000,11627,373
3700,7,3700,10725,375
3600,6,3600,10425,375
3800,7,3800,11033,367
3900,7,3900,11321,379
3700,8,3700,10734,366
4000,5,4000,11622,378
3800,8,3800,11030,370
3600,7,3600,10468,332
3900,8,3900,11320,380
3700,9,3700,10761,339
3800,9,3800,11019,381
3900,9,3900,11312,388
3600,8,3600,10446,354
4000,6,4000,11625,375
3700,10,3700,10759,341
3800,10,3800,11064,336
3900,10,3900,11316,384
3600,9,3600,10475,325
4000,7,4000,11624,376
3600,10,3600,10434,366
4000,8,4000,11641,359
4200,1,4200,12224,376
4300,1,4300,12525,375
4100,1,4100,11913,387
4400,1,4400,12818,382
4500,1,4500,13105,395
4000,9,4000,11637,363
4200,2,4200,12184,416
4100,2,4100,11902,398
4000,10,4000,11616,384
4300,2,4300,12495,405
4400,2,4400,12822,378
4500,2,4500,13092,408
4200,3,4200,12201,399
4100,3,4100,11906,394
4300,3,4300,12515,385
4200,4,4200,12179,421
4400,3,4400,12801,399
4500,3,4500,13114,386
4100,4,4100,11912,388
4200,5,4200,12188,412
4300,4,4300,12507,393
4400,4,4400,12819,381
4500,4,4500,13113,387
4100,5,4100,11914,386
4200,6,4200,12206,394
4300,5,4300,12528,372
4400,5,4400,12777,423
4500,5,4500,13084,416
4100,6,4100,11924,376
4200,7,4200,12213,387
4300,6,4300,12483,417
4200,8,4200,12214,386
4100,7,4100,11926,374
4400,6,4400,12816,384
4500,6,4500,13067,433
4800,1,4800,14017,383
5000,1,5000,14560,440
4900,1,4900,14227,473
4600,1,4600,13426,374
4700,1,4700,13687,413
4200,9,4200,12230,370
4300,7,4300,12530,370
4100,8,4100,11922,378
4800,2,4800,13952,448
5000,2,5000,14552,448
4900,2,4900,14250,450
4400,7,4400,12793,407
4600,2,4600,13387,413
