Graphimine – 23842 atoms, 62880 bonds

23842 atoms
62880 bonds

1 atom types
1 bond types

-25.000000 25.000000 xlo xhi
-25.000000 25.000000 ylo yhi
-25.000000 25.000000 zlo zhi

Masses

1 1.0

Atoms  # id mol type x y z

1 1 1 10.821450 -26.939549 -11.248534
2 1 1 10.988978 -25.953682 -11.248534
3 1 1 11.156506 -24.967814 -11.248534
4 1 1 11.324035 -23.981947 -11.248534
5 1 1 11.491563 -22.996080 -11.248534
6 1 1 11.659091 -22.010212 -11.248534
7 1 1 9.883900 -27.287399 -11.248534
8 1 1 10.051428 -26.301532 -11.248534
9 1 1 10.218956 -25.315664 -11.248534
10 1 1 10.386484 -24.329797 -11.248534
11 1 1 10.554013 -23.343930 -11.248534
12 1 1 10.721541 -22.358062 -11.248534
13 1 1 10.889069 -21.372195 -11.248534
14 1 1 8.946350 -27.635249 -11.248534
15 1 1 9.113878 -26.649381 -11.248534
16 1 1 9.281406 -25.663514 -11.248534
17 1 1 9.448934 -24.677647 -11.248534
18 1 1 9.616462 -23.691780 -11.248534
19 1 1 9.783991 -22.705912 -11.248534
20 1 1 9.951519 -21.720045 -11.248534
21 1 1 10.119047 -20.734178 -11.248534
22 1 1 8.008799 -27.983099 -11.248534
23 1 1 8.176328 -26.997231 -11.248534
24 1 1 8.343856 -26.011364 -11.248534
25 1 1 8.511384 -25.025497 -11.248534
26 1 1 8.678912 -24.039630 -11.248534
27 1 1 8.846440 -23.053762 -11.248534
28 1 1 9.013969 -22.067895 -11.248534
29 1 1 9.181497 -21.082028 -11.248534
30 1 1 9.349025 -20.096160 -11.248534
31 1 1 7.071249 -28.330949 -11.248534
32 1 1 7.238777 -27.345081 -11.248534
33 1 1 7.406306 -26.359214 -11.248534
34 1 1 7.573834 -25.373347 -11.248534
35 1 1 7.741362 -24.387480 -11.248534
36 1 1 7.908890 -23.401612 -11.248534
37 1 1 8.076418 -22.415745 -11.248534
38 1 1 8.243947 -21.429878 -11.248534
39 1 1 8.411475 -20.444010 -11.248534
40 1 1 8.579003 -19.458143 -11.248534
41 1 1 6.133699 -28.678799 -11.248534
42 1 1 6.301227 -27.692931 -11.248534
43 1 1 6.468755 -26.707064 -11.248534
44 1 1 6.636284 -25.721197 -11.248534
45 1 1 6.803812 -24.735330 -11.248534
46 1 1 6.971340 -23.749462 -11.248534
47 1 1 7.138868 -22.763595 -11.248534
48 1 1 7.306396 -21.777728 -11.248534
49 1 1 7.473925 -20.791860 -11.248534
50 1 1 7.641453 -19.805993 -11.248534
51 1 1 7.808981 -18.820126 -11.248534
52 1 1 5.363677 -28.040781 -11.248534
53 1 1 5.531205 -27.054914 -11.248534
54 1 1 5.698733 -26.069047 -11.248534
55 1 1 5.866262 -25.083179 -11.248534
56 1 1 6.033790 -24.097312 -11.248534
57 1 1 6.201318 -23.111445 -11.248534
58 1 1 6.368846 -22.125578 -11.248534
59 1 1 6.536374 -21.139710 -11.248534
60 1 1 6.703903 -20.153843 -11.248534
61 1 1 6.871431 -19.167976 -11.248534
62 1 1 4.593655 -27.402764 -11.248534
63 1 1 4.761183 -26.416897 -11.248534
64 1 1 4.928711 -25.431029 -11.248534
65 1 1 5.096239 -24.445162 -11.248534
66 1 1 5.263768 -23.459295 -11.248534
67 1 1 5.431296 -22.473428 -11.248534
68 1 1 5.598824 -21.487560 -11.248534
69 1 1 5.766352 -20.501693 -11.248534
70 1 1 5.933880 -19.515826 -11.248534
71 1 1 3.823633 -26.764747 -11.248534
72 1 1 3.991161 -25.778879 -11.248534
73 1 1 4.158689 -24.793012 -11.248534
74 1 1 4.326217 -23.807145 -11.248534
75 1 1 4.493746 -22.821278 -11.248534
76 1 1 4.661274 -21.835410 -11.248534
77 1 1 4.828802 -20.849543 -11.248534
78 1 1 4.996330 -19.863676 -11.248534
79 1 1 3.053611 -26.126729 -11.248534
80 1 1 3.221139 -25.140862 -11.248534
81 1 1 3.388667 -24.154995 -11.248534
82 1 1 3.556195 -23.169128 -11.248534
83 1 1 3.723724 -22.183260 -11.248534
84 1 1 3.891252 -21.197393 -11.248534
85 1 1 4.058780 -20.211526 -11.248534
86 1 1 2.283589 -25.488712 -11.248534
87 1 1 2.451117 -24.502845 -11.248534
88 1 1 2.618645 -23.516978 -11.248534
89 1 1 2.786173 -22.531110 -11.248534
90 1 1 2.953702 -21.545243 -11.248534
91 1 1 3.121230 -20.559376 -11.248534
92 2 1 11.936821 3.836257 19.608978
93 2 1 12.791298 4.355746 19.608978
94 2 1 13.645775 4.875235 19.608978
95 2 1 14.500253 5.394724 19.608978
96 2 1 15.354730 5.914213 19.608978
97 2 1 16.209207 6.433702 19.608978
98 2 1 11.059692 4.316512 19.608978
99 2 1 11.914169 4.836001 19.608978
100 2 1 12.768646 5.355490 19.608978
101 2 1 13.623123 5.874979 19.608978
102 2 1 14.477600 6.394468 19.608978
103 2 1 15.332078 6.913957 19.608978
104 2 1 16.186555 7.433446 19.608978
105 2 1 10.182563 4.796766 19.608978
106 2 1 11.037040 5.316255 19.608978
107 2 1 11.891517 5.835744 19.608978
108 2 1 12.745994 6.355233 19.608978
109 2 1 13.600471 6.874722 19.608978
110 2 1 14.454948 7.394211 19.608978
111 2 1 15.309426 7.913700 19.608978
112 2 1 16.163903 8.433189 19.608978
113 2 1 9.305433 5.277021 19.608978
114 2 1 10.159911 5.796510 19.608978
115 2 1 11.014388 6.315999 19.608978
116 2 1 11.868865 6.835488 19.608978
117 2 1 12.723342 7.354977 19.608978
118 2 1 13.577819 7.874466 19.608978
119 2 1 14.432296 8.393955 19.608978
120 2 1 15.286773 8.913443 19.608978
121 2 1 16.141251 9.432932 19.608978
122 2 1 8.428304 5.757275 19.608978
123 2 1 9.282781 6.276764 19.608978
124 2 1 10.137258 6.796253 19.608978
125 2 1 10.991736 7.315742 19.608978
126 2 1 11.846213 7.835231 19.608978
127 2 1 12.700690 8.354720 19.608978
128 2 1 13.555167 8.874209 19.608978
129 2 1 14.409644 9.393698 19.608978
130 2 1 15.264121 9.913187 19.608978
131 2 1 16.118599 10.432676 19.608978
132 2 1 7.551175 6.237529 19.608978
133 2 1 8.405652 6.757018 19.608978
134 2 1 9.260129 7.276507 19.608978
135 2 1 10.114606 7.795996 19.608978
136 2 1 10.969084 8.315485 19.608978
137 2 1 11.823561 8.834974 19.608978
138 2 1 12.678038 9.354463 19.608978
139 2 1 13.532515 9.873952 19.608978
140 2 1 14.386992 10.393441 19.608978
141 2 1 15.241469 10.912930 19.608978
142 2 1 16.095946 11.432419 19.608978
143 2 1 7.528523 7.237273 19.608978
144 2 1 8.383000 7.756762 19.608978
145 2 1 9.237477 8.276251 19.608978
146 2 1 10.091954 8.795740 19.608978
147 2 1 10.946431 9.315229 19.608978
148 2 1 11.800909 9.834718 19.608978
149 2 1 12.655386 10.354207 19.608978
150 2 1 13.509863 10.873696 19.608978
151 2 1 14.364340 11.393185 19.608978
152 2 1 15.218817 11.912674 19.608978
153 2 1 7.505871 8.237016 19.608978
154 2 1 8.360348 8.756505 19.608978
155 2 1 9.214825 9.275994 19.608978
156 2 1 10.069302 9.795483 19.608978
157 2 1 10.923779 10.314972 19.608978
158 2 1 11.778257 10.834461 19.608978
159 2 1 12.632734 11.353950 19.608978
160 2 1 13.487211 11.873439 19.608978
161 2 1 14.341688 12.392928 19.608978
162 2 1 7.483219 9.236760 19.608978
163 2 1 8.337696 9.756249 19.608978
164 2 1 9.192173 10.275738 19.608978
165 2 1 10.046650 10.795227 19.608978
166 2 1 10.901127 11.314716 19.608978
167 2 1 11.755604 11.834205 19.608978
168 2 1 12.610082 12.353694 19.608978
169 2 1 13.464559 12.873183 19.608978
170 2 1 7.460567 10.236503 19.608978
171 2 1 8.315044 10.755992 19.608978
172 2 1 9.169521 11.275481 19.608978
173 2 1 10.023998 11.794970 19.608978
174 2 1 10.878475 12.314459 19.608978
175 2 1 11.732952 12.833948 19.608978
176 2 1 12.587430 13.353437 19.608978
177 2 1 7.437915 11.236246 19.608978
178 2 1 8.292392 11.755735 19.608978
179 2 1 9.146869 12.275224 19.608978
180 2 1 10.001346 12.794713 19.608978
181 2 1 10.855823 13.314202 19.608978
182 2 1 11.710300 13.833691 19.608978
183 3 1 -1.550998 -19.098358 -14.068101
184 3 1 -2.550432 -19.132000 -14.068101
185 3 1 -3.549866 -19.165642 -14.068101
186 3 1 -4.549300 -19.199284 -14.068101
187 3 1 -5.548734 -19.232926 -14.068101
188 3 1 -6.548168 -19.266568 -14.068101
189 3 1 -1.022146 -19.947073 -14.068101
190 3 1 -2.021580 -19.980714 -14.068101
191 3 1 -3.021014 -20.014356 -14.068101
192 3 1 -4.020448 -20.047998 -14.068101
193 3 1 -5.019882 -20.081640 -14.068101
194 3 1 -6.019316 -20.115282 -14.068101
195 3 1 -7.018750 -20.148924 -14.068101
196 3 1 -0.493294 -20.795787 -14.068101
197 3 1 -1.492728 -20.829429 -14.068101
198 3 1 -2.492162 -20.863071 -14.068101
199 3 1 -3.491596 -20.896712 -14.068101
200 3 1 -4.491030 -20.930354 -14.068101
201 3 1 -5.490464 -20.963996 -14.068101
202 3 1 -6.489898 -20.997638 -14.068101
203 3 1 -7.489332 -21.031280 -14.068101
204 3 1 0.035557 -21.644501 -14.068101
205 3 1 -0.963877 -21.678143 -14.068101
206 3 1 -1.963311 -21.711785 -14.068101
207 3 1 -2.962745 -21.745427 -14.068101
208 3 1 -3.962179 -21.779069 -14.068101
209 3 1 -4.961612 -21.812711 -14.068101
210 3 1 -5.961046 -21.846352 -14.068101
211 3 1 -6.960480 -21.879994 -14.068101
212 3 1 -7.959914 -21.913636 -14.068101
213 3 1 0.564409 -22.493215 -14.068101
214 3 1 -0.435025 -22.526857 -14.068101
215 3 1 -1.434459 -22.560499 -14.068101
216 3 1 -2.433893 -22.594141 -14.068101
217 3 1 -3.433327 -22.627783 -14.068101
218 3 1 -4.432761 -22.661425 -14.068101
219 3 1 -5.432195 -22.695067 -14.068101
220 3 1 -6.431629 -22.728709 -14.068101
221 3 1 -7.431063 -22.762351 -14.068101
222 3 1 -8.430497 -22.795992 -14.068101
223 3 1 1.093261 -23.341929 -14.068101
224 3 1 0.093827 -23.375571 -14.068101
225 3 1 -0.905607 -23.409213 -14.068101
226 3 1 -1.905041 -23.442855 -14.068101
227 3 1 -2.904475 -23.476497 -14.068101
228 3 1 -3.903909 -23.510139 -14.068101
229 3 1 -4.903343 -23.543781 -14.068101
230 3 1 -5.902777 -23.577423 -14.068101
231 3 1 -6.902211 -23.611065 -14.068101
232 3 1 -7.901645 -23.644707 -14.068101
233 3 1 -8.901079 -23.678349 -14.068101
234 3 1 0.622679 -24.224286 -14.068101
235 3 1 -0.376755 -24.257928 -14.068101
236 3 1 -1.376189 -24.291569 -14.068101
237 3 1 -2.375623 -24.325211 -14.068101
238 3 1 -3.375057 -24.358853 -14.068101
239 3 1 -4.374491 -24.392495 -14.068101
240 3 1 -5.373925 -24.426137 -14.068101
241 3 1 -6.373359 -24.459779 -14.068101
242 3 1 -7.372793 -24.493421 -14.068101
243 3 1 -8.372227 -24.527063 -14.068101
244 3 1 0.152096 -25.106642 -14.068101
245 3 1 -0.847338 -25.140284 -14.068101
246 3 1 -1.846772 -25.173926 -14.068101
247 3 1 -2.846206 -25.207567 -14.068101
248 3 1 -3.845640 -25.241209 -14.068101
249 3 1 -4.845073 -25.274851 -14.068101
250 3 1 -5.844507 -25.308493 -14.068101
251 3 1 -6.843941 -25.342135 -14.068101
252 3 1 -7.843375 -25.375777 -14.068101
253 3 1 -0.318486 -25.988998 -14.068101
254 3 1 -1.317920 -26.022640 -14.068101
255 3 1 -2.317354 -26.056282 -14.068101
256 3 1 -3.316788 -26.089924 -14.068101
257 3 1 -4.316222 -26.123566 -14.068101
258 3 1 -5.315656 -26.157207 -14.068101
259 3 1 -6.315090 -26.190849 -14.068101
260 3 1 -7.314524 -26.224491 -14.068101
261 3 1 -0.789068 -26.871354 -14.068101
262 3 1 -1.788502 -26.904996 -14.068101
263 3 1 -2.787936 -26.938638 -14.068101
264 3 1 -3.787370 -26.972280 -14.068101
265 3 1 -4.786804 -27.005922 -14.068101
266 3 1 -5.786238 -27.039564 -14.068101
267 3 1 -6.785672 -27.073206 -14.068101
268 3 1 -1.259650 -27.753710 -14.068101
269 3 1 -2.259084 -27.787352 -14.068101
270 3 1 -3.258518 -27.820994 -14.068101
271 3 1 -4.257952 -27.854636 -14.068101
272 3 1 -5.257386 -27.888278 -14.068101
273 3 1 -6.256820 -27.921920 -14.068101
274 4 1 -22.478749 -10.202885 7.494222
275 4 1 -23.439145 -10.481523 7.494222
276 4 1 -24.399541 -10.760161 7.494222
277 4 1 -25.359938 -11.038799 7.494222
278 4 1 -26.320334 -11.317437 7.494222
279 4 1 -27.280730 -11.596075 7.494222
280 4 1 -21.757243 -10.895293 7.494222
281 4 1 -22.717639 -11.173931 7.494222
282 4 1 -23.678036 -11.452569 7.494222
283 4 1 -24.638432 -11.731207 7.494222
284 4 1 -25.598828 -12.009845 7.494222
285 4 1 -26.559224 -12.288483 7.494222
286 4 1 -27.519620 -12.567121 7.494222
287 4 1 -21.035738 -11.587702 7.494222
288 4 1 -21.996134 -11.866340 7.494222
289 4 1 -22.956530 -12.144978 7.494222
290 4 1 -23.916926 -12.423616 7.494222
291 4 1 -24.877322 -12.702254 7.494222
292 4 1 -25.837719 -12.980892 7.494222
293 4 1 -26.798115 -13.259530 7.494222
294 4 1 -27.758511 -13.538168 7.494222
295 4 1 -20.314232 -12.280110 7.494222
296 4 1 -21.274628 -12.558748 7.494222
297 4 1 -22.235024 -12.837386 7.494222
298 4 1 -23.195420 -13.116024 7.494222
299 4 1 -24.155817 -13.394662 7.494222
300 4 1 -25.116213 -13.673300 7.494222
301 4 1 -26.076609 -13.951938 7.494222
302 4 1 -27.037005 -14.230576 7.494222
303 4 1 -27.997401 -14.509214 7.494222
304 4 1 -19.592726 -12.972519 7.494222
305 4 1 -20.553122 -13.251157 7.494222
306 4 1 -21.513519 -13.529795 7.494222
307 4 1 -22.473915 -13.808433 7.494222
308 4 1 -23.434311 -14.087071 7.494222
309 4 1 -24.394707 -14.365709 7.494222
310 4 1 -25.355103 -14.644347 7.494222
311 4 1 -26.315500 -14.922985 7.494222
312 4 1 -27.275896 -15.201623 7.494222
313 4 1 -28.236292 -15.480261 7.494222
314 4 1 -18.871221 -13.664927 7.494222
315 4 1 -19.831617 -13.943565 7.494222
316 4 1 -20.792013 -14.222203 7.494222
317 4 1 -21.752409 -14.500841 7.494222
318 4 1 -22.712805 -14.779479 7.494222
319 4 1 -23.673202 -15.058117 7.494222
320 4 1 -24.633598 -15.336755 7.494222
321 4 1 -25.593994 -15.615393 7.494222
322 4 1 -26.554390 -15.894031 7.494222
323 4 1 -27.514786 -16.172669 7.494222
324 4 1 -28.475183 -16.451307 7.494222
325 4 1 -19.110111 -14.635974 7.494222
326 4 1 -20.070507 -14.914612 7.494222
327 4 1 -21.030903 -15.193250 7.494222
328 4 1 -21.991300 -15.471888 7.494222
329 4 1 -22.951696 -15.750526 7.494222
330 4 1 -23.912092 -16.029164 7.494222
331 4 1 -24.872488 -16.307802 7.494222
332 4 1 -25.832884 -16.586440 7.494222
333 4 1 -26.793281 -16.865078 7.494222
334 4 1 -27.753677 -17.143716 7.494222
335 4 1 -19.349002 -15.607020 7.494222
336 4 1 -20.309398 -15.885658 7.494222
337 4 1 -21.269794 -16.164296 7.494222
338 4 1 -22.230190 -16.442934 7.494222
339 4 1 -23.190586 -16.721572 7.494222
340 4 1 -24.150983 -17.000210 7.494222
341 4 1 -25.111379 -17.278848 7.494222
342 4 1 -26.071775 -17.557486 7.494222
343 4 1 -27.032171 -17.836124 7.494222
344 4 1 -19.587892 -16.578067 7.494222
345 4 1 -20.548288 -16.856705 7.494222
346 4 1 -21.508684 -17.135343 7.494222
347 4 1 -22.469081 -17.413981 7.494222
348 4 1 -23.429477 -17.692619 7.494222
349 4 1 -24.389873 -17.971257 7.494222
350 4 1 -25.350269 -18.249895 7.494222
351 4 1 -26.310665 -18.528533 7.494222
352 4 1 -19.826783 -17.549114 7.494222
353 4 1 -20.787179 -17.827752 7.494222
354 4 1 -21.747575 -18.106390 7.494222
355 4 1 -22.707971 -18.385028 7.494222
356 4 1 -23.668367 -18.663666 7.494222
357 4 1 -24.628764 -18.942303 7.494222
358 4 1 -25.589160 -19.220941 7.494222
359 4 1 -20.065673 -18.520160 7.494222
360 4 1 -21.026069 -18.798798 7.494222
361 4 1 -21.986465 -19.077436 7.494222
362 4 1 -22.946862 -19.356074 7.494222
363 4 1 -23.907258 -19.634712 7.494222
364 4 1 -24.867654 -19.913350 7.494222
365 5 1 -16.299122 0.034713 15.471523
366 5 1 -15.299956 0.075534 15.471523
367 5 1 -14.300790 0.116356 15.471523
368 5 1 -13.301623 0.157177 15.471523
369 5 1 -12.302457 0.197999 15.471523
370 5 1 -11.303290 0.238820 15.471523
371 5 1 -16.834058 0.879605 15.471523
372 5 1 -15.834892 0.920427 15.471523
373 5 1 -14.835725 0.961249 15.471523
374 5 1 -13.836559 1.002070 15.471523
375 5 1 -12.837392 1.042892 15.471523
376 5 1 -11.838226 1.083713 15.471523
377 5 1 -10.839059 1.124535 15.471523
378 5 1 -17.368994 1.724498 15.471523
379 5 1 -16.369827 1.765320 15.471523
380 5 1 -15.370661 1.806141 15.471523
381 5 1 -14.371495 1.846963 15.471523
382 5 1 -13.372328 1.887784 15.471523
383 5 1 -12.373162 1.928606 15.471523
384 5 1 -11.373995 1.969428 15.471523
385 5 1 -10.374829 2.010249 15.471523
386 5 1 -17.903930 2.569391 15.471523
387 5 1 -16.904763 2.610212 15.471523
388 5 1 -15.905597 2.651034 15.471523
389 5 1 -14.906430 2.691856 15.471523
390 5 1 -13.907264 2.732677 15.471523
391 5 1 -12.908097 2.773499 15.471523
392 5 1 -11.908931 2.814320 15.471523
393 5 1 -10.909765 2.855142 15.471523
394 5 1 -9.910598 2.895963 15.471523
395 5 1 -18.438865 3.414284 15.471523
396 5 1 -17.439699 3.455105 15.471523
397 5 1 -16.440533 3.495927 15.471523
398 5 1 -15.441366 3.536748 15.471523
399 5 1 -14.442200 3.577570 15.471523
400 5 1 -13.443033 3.618391 15.471523
401 5 1 -12.443867 3.659213 15.471523
402 5 1 -11.444700 3.700035 15.471523
403 5 1 -10.445534 3.740856 15.471523
404 5 1 -9.446367 3.781678 15.471523
405 5 1 -18.973801 4.259176 15.471523
406 5 1 -17.974635 4.299998 15.471523
407 5 1 -16.975468 4.340819 15.471523
408 5 1 -15.976302 4.381641 15.471523
409 5 1 -14.977135 4.422463 15.471523
410 5 1 -13.977969 4.463284 15.471523
411 5 1 -12.978802 4.504106 15.471523
412 5 1 -11.979636 4.544927 15.471523
413 5 1 -10.980470 4.585749 15.471523
414 5 1 -9.981303 4.626570 15.471523
415 5 1 -8.982137 4.667392 15.471523
416 5 1 -18.509570 5.144891 15.471523
417 5 1 -17.510404 5.185712 15.471523
418 5 1 -16.511238 5.226534 15.471523
419 5 1 -15.512071 5.267355 15.471523
420 5 1 -14.512905 5.308177 15.471523
421 5 1 -13.513738 5.348999 15.471523
422 5 1 -12.514572 5.389820 15.471523
423 5 1 -11.515405 5.430642 15.471523
424 5 1 -10.516239 5.471463 15.471523
425 5 1 -9.517072 5.512285 15.471523
426 5 1 -18.045340 6.030605 15.471523
427 5 1 -17.046173 6.071427 15.471523
428 5 1 -16.047007 6.112248 15.471523
429 5 1 -15.047840 6.153070 15.471523
430 5 1 -14.048674 6.193891 15.471523
431 5 1 -13.049507 6.234713 15.471523
432 5 1 -12.050341 6.275534 15.471523
433 5 1 -11.051175 6.316356 15.471523
434 5 1 -10.052008 6.357178 15.471523
435 5 1 -17.581109 6.916319 15.471523
436 5 1 -16.581943 6.957141 15.471523
437 5 1 -15.582776 6.997962 15.471523
438 5 1 -14.583610 7.038784 15.471523
439 5 1 -13.584443 7.079606 15.471523
440 5 1 -12.585277 7.120427 15.471523
441 5 1 -11.586110 7.161249 15.471523
442 5 1 -10.586944 7.202070 15.471523
443 5 1 -17.116878 7.802034 15.471523
444 5 1 -16.117712 7.842855 15.471523
445 5 1 -15.118545 7.883677 15.471523
446 5 1 -14.119379 7.924498 15.471523
447 5 1 -13.120212 7.965320 15.471523
448 5 1 -12.121046 8.006141 15.471523
449 5 1 -11.121880 8.046963 15.471523
450 5 1 -16.652648 8.687748 15.471523
451 5 1 -15.653481 8.728569 15.471523
452 5 1 -14.654315 8.769391 15.471523
453 5 1 -13.655148 8.810213 15.471523
454 5 1 -12.655982 8.851034 15.471523
455 5 1 -11.656815 8.891856 15.471523
456 6 1 17.480671 5.411953 -7.987474
457 6 1 18.040260 6.240723 -7.987474
458 6 1 18.599849 7.069493 -7.987474
459 6 1 19.159438 7.898263 -7.987474
460 6 1 19.719027 8.727034 -7.987474
461 6 1 20.278616 9.555804 -7.987474
462 6 1 16.483140 5.482186 -7.987474
463 6 1 17.042729 6.310956 -7.987474
464 6 1 17.602318 7.139726 -7.987474
465 6 1 18.161907 7.968497 -7.987474
466 6 1 18.721496 8.797267 -7.987474
467 6 1 19.281085 9.626037 -7.987474
468 6 1 19.840674 10.454807 -7.987474
469 6 1 15.485609 5.552419 -7.987474
470 6 1 16.045198 6.381189 -7.987474
471 6 1 16.604787 7.209959 -7.987474
472 6 1 17.164376 8.038730 -7.987474
473 6 1 17.723965 8.867500 -7.987474
474 6 1 18.283554 9.696270 -7.987474
475 6 1 18.843143 10.525040 -7.987474
476 6 1 19.402732 11.353811 -7.987474
477 6 1 14.488079 5.622652 -7.987474
478 6 1 15.047668 6.451422 -7.987474
479 6 1 15.607257 7.280193 -7.987474
480 6 1 16.166846 8.108963 -7.987474
481 6 1 16.726435 8.937733 -7.987474
482 6 1 17.286024 9.766503 -7.987474
483 6 1 17.845613 10.595274 -7.987474
484 6 1 18.405202 11.424044 -7.987474
485 6 1 18.964791 12.252814 -7.987474
486 6 1 13.490548 5.692885 -7.987474
487 6 1 14.050137 6.521656 -7.987474
488 6 1 14.609726 7.350426 -7.987474
489 6 1 15.169315 8.179196 -7.987474
490 6 1 15.728904 9.007966 -7.987474
491 6 1 16.288493 9.836737 -7.987474
492 6 1 16.848082 10.665507 -7.987474
493 6 1 17.407671 11.494277 -7.987474
494 6 1 17.967260 12.323047 -7.987474
495 6 1 18.526849 13.151818 -7.987474
496 6 1 12.493018 5.763118 -7.987474
