Graphimine – 36661 atoms, 93756 bonds

36661 atoms
93756 bonds

1 atom types
1 bond types

-20.000000 20.000000 xlo xhi
-20.000000 20.000000 ylo yhi
-20.000000 20.000000 zlo zhi

Masses

1 1.0

Atoms  # id mol type x y z

1 1 1 12.575199 -20.429421 5.957169
2 1 1 12.702068 -19.437502 5.957169
3 1 1 12.828937 -18.445582 5.957169
4 1 1 12.955805 -17.453663 5.957169
5 1 1 13.082674 -16.461743 5.957169
6 1 1 11.652738 -20.815510 5.957169
7 1 1 11.779606 -19.823590 5.957169
8 1 1 11.906475 -18.831671 5.957169
9 1 1 12.033343 -17.839751 5.957169
10 1 1 12.160212 -16.847832 5.957169
11 1 1 12.287081 -15.855912 5.957169
12 1 1 10.730276 -21.201598 5.957169
13 1 1 10.857144 -20.209678 5.957169
14 1 1 10.984013 -19.217759 5.957169
15 1 1 11.110881 -18.225839 5.957169
16 1 1 11.237750 -17.233920 5.957169
17 1 1 11.364619 -16.242000 5.957169
18 1 1 11.491487 -15.250081 5.957169
19 1 1 9.807814 -21.587686 5.957169
20 1 1 9.934682 -20.595767 5.957169
21 1 1 10.061551 -19.603847 5.957169
22 1 1 10.188420 -18.611928 5.957169
23 1 1 10.315288 -17.620008 5.957169
24 1 1 10.442157 -16.628089 5.957169
25 1 1 10.569025 -15.636169 5.957169
26 1 1 10.695894 -14.644250 5.957169
27 1 1 8.885352 -21.973775 5.957169
28 1 1 9.012221 -20.981855 5.957169
29 1 1 9.139089 -19.989936 5.957169
30 1 1 9.265958 -18.998016 5.957169
31 1 1 9.392826 -18.006097 5.957169
32 1 1 9.519695 -17.014177 5.957169
33 1 1 9.646564 -16.022257 5.957169
34 1 1 9.773432 -15.030338 5.957169
35 1 1 9.900301 -14.038418 5.957169
36 1 1 8.089759 -21.367943 5.957169
37 1 1 8.216627 -20.376024 5.957169
38 1 1 8.343496 -19.384104 5.957169
39 1 1 8.470365 -18.392185 5.957169
40 1 1 8.597233 -17.400265 5.957169
41 1 1 8.724102 -16.408346 5.957169
42 1 1 8.850970 -15.416426 5.957169
43 1 1 8.977839 -14.424507 5.957169
44 1 1 7.294166 -20.762112 5.957169
45 1 1 7.421034 -19.770193 5.957169
46 1 1 7.547903 -18.778273 5.957169
47 1 1 7.674771 -17.786354 5.957169
48 1 1 7.801640 -16.794434 5.957169
49 1 1 7.928509 -15.802515 5.957169
50 1 1 8.055377 -14.810595 5.957169
51 1 1 6.498572 -20.156281 5.957169
52 1 1 6.625441 -19.164362 5.957169
53 1 1 6.752310 -18.172442 5.957169
54 1 1 6.879178 -17.180522 5.957169
55 1 1 7.006047 -16.188603 5.957169
56 1 1 7.132915 -15.196683 5.957169
57 1 1 5.702979 -19.550450 5.957169
58 1 1 5.829848 -18.558530 5.957169
59 1 1 5.956716 -17.566611 5.957169
60 1 1 6.083585 -16.574691 5.957169
61 1 1 6.210454 -15.582772 5.957169
62 2 1 13.455597 16.056400 -19.422533
63 2 1 12.457409 16.116574 -19.422533
64 2 1 11.459221 16.176747 -19.422533
65 2 1 10.461033 16.236920 -19.422533
66 2 1 9.462845 16.297093 -19.422533
67 2 1 13.902579 15.161858 -19.422533
68 2 1 12.904391 15.222031 -19.422533
69 2 1 11.906203 15.282204 -19.422533
70 2 1 10.908015 15.342377 -19.422533
71 2 1 9.909827 15.402550 -19.422533
72 2 1 8.911639 15.462723 -19.422533
73 2 1 14.349562 14.267315 -19.422533
74 2 1 13.351374 14.327488 -19.422533
75 2 1 12.353186 14.387661 -19.422533
76 2 1 11.354998 14.447834 -19.422533
77 2 1 10.356810 14.508007 -19.422533
78 2 1 9.358622 14.568181 -19.422533
79 2 1 8.360434 14.628354 -19.422533
80 2 1 14.796544 13.372772 -19.422533
81 2 1 13.798356 13.432946 -19.422533
82 2 1 12.800168 13.493119 -19.422533
83 2 1 11.801980 13.553292 -19.422533
84 2 1 10.803793 13.613465 -19.422533
85 2 1 9.805605 13.673638 -19.422533
86 2 1 8.807417 13.733811 -19.422533
87 2 1 7.809229 13.793984 -19.422533
88 2 1 15.243527 12.478230 -19.422533
89 2 1 14.245339 12.538403 -19.422533
90 2 1 13.247151 12.598576 -19.422533
91 2 1 12.248963 12.658749 -19.422533
92 2 1 11.250775 12.718922 -19.422533
93 2 1 10.252587 12.779095 -19.422533
94 2 1 9.254399 12.839268 -19.422533
95 2 1 8.256211 12.899441 -19.422533
96 2 1 7.258023 12.959614 -19.422533
97 2 1 14.692322 11.643860 -19.422533
98 2 1 13.694134 11.704033 -19.422533
99 2 1 12.695946 11.764206 -19.422533
100 2 1 11.697758 11.824379 -19.422533
101 2 1 10.699570 11.884553 -19.422533
102 2 1 9.701382 11.944726 -19.422533
103 2 1 8.703194 12.004899 -19.422533
104 2 1 7.705006 12.065072 -19.422533
105 2 1 14.141116 10.809491 -19.422533
106 2 1 13.142928 10.869664 -19.422533
107 2 1 12.144740 10.929837 -19.422533
108 2 1 11.146552 10.990010 -19.422533
109 2 1 10.148364 11.050183 -19.422533
110 2 1 9.150176 11.110356 -19.422533
111 2 1 8.151988 11.170529 -19.422533
112 2 1 13.589911 9.975121 -19.422533
113 2 1 12.591723 10.035294 -19.422533
114 2 1 11.593535 10.095467 -19.422533
115 2 1 10.595347 10.155640 -19.422533
116 2 1 9.597159 10.215813 -19.422533
117 2 1 8.598971 10.275986 -19.422533
118 2 1 13.038705 9.140751 -19.422533
119 2 1 12.040517 9.200925 -19.422533
120 2 1 11.042329 9.261098 -19.422533
121 2 1 10.044141 9.321271 -19.422533
122 2 1 9.045954 9.381444 -19.422533
123 3 1 -7.440725 10.002885 13.085853
124 3 1 -7.572643 9.011625 13.085853
125 3 1 -7.704561 8.020364 13.085853
126 3 1 -7.836479 7.029104 13.085853
127 3 1 -7.968397 6.037843 13.085853
128 3 1 -6.516309 10.384271 13.085853
129 3 1 -6.648227 9.393011 13.085853
130 3 1 -6.780145 8.401750 13.085853
131 3 1 -6.912063 7.410490 13.085853
132 3 1 -7.043981 6.419229 13.085853
133 3 1 -7.175899 5.427968 13.085853
134 3 1 -5.591893 10.765657 13.085853
135 3 1 -5.723811 9.774397 13.085853
136 3 1 -5.855729 8.783136 13.085853
137 3 1 -5.987647 7.791875 13.085853
138 3 1 -6.119565 6.800615 13.085853
139 3 1 -6.251483 5.809354 13.085853
140 3 1 -6.383401 4.818094 13.085853
141 3 1 -4.667477 11.147043 13.085853
142 3 1 -4.799395 10.155783 13.085853
143 3 1 -4.931313 9.164522 13.085853
144 3 1 -5.063231 8.173261 13.085853
145 3 1 -5.195149 7.182001 13.085853
146 3 1 -5.327067 6.190740 13.085853
147 3 1 -5.458985 5.199480 13.085853
148 3 1 -5.590903 4.208219 13.085853
149 3 1 -3.743061 11.528429 13.085853
150 3 1 -3.874979 10.537169 13.085853
151 3 1 -4.006897 9.545908 13.085853
152 3 1 -4.138815 8.554647 13.085853
153 3 1 -4.270733 7.563387 13.085853
154 3 1 -4.402651 6.572126 13.085853
155 3 1 -4.534569 5.580865 13.085853
156 3 1 -4.666487 4.589605 13.085853
157 3 1 -4.798406 3.598344 13.085853
158 3 1 -2.950563 10.918555 13.085853
159 3 1 -3.082481 9.927294 13.085853
160 3 1 -3.214399 8.936033 13.085853
161 3 1 -3.346317 7.944773 13.085853
162 3 1 -3.478236 6.953512 13.085853
163 3 1 -3.610154 5.962251 13.085853
164 3 1 -3.742072 4.970991 13.085853
165 3 1 -3.873990 3.979730 13.085853
166 3 1 -2.158066 10.308680 13.085853
167 3 1 -2.289984 9.317419 13.085853
168 3 1 -2.421902 8.326159 13.085853
169 3 1 -2.553820 7.334898 13.085853
170 3 1 -2.685738 6.343637 13.085853
171 3 1 -2.817656 5.352377 13.085853
172 3 1 -2.949574 4.361116 13.085853
173 3 1 -1.365568 9.698805 13.085853
174 3 1 -1.497486 8.707545 13.085853
175 3 1 -1.629404 7.716284 13.085853
176 3 1 -1.761322 6.725023 13.085853
177 3 1 -1.893240 5.733763 13.085853
178 3 1 -2.025158 4.742502 13.085853
179 3 1 -0.573070 9.088931 13.085853
180 3 1 -0.704988 8.097670 13.085853
181 3 1 -0.836906 7.106409 13.085853
182 3 1 -0.968824 6.115149 13.085853
183 3 1 -1.100742 5.123888 13.085853
184 4 1 -13.692675 9.433120 17.792265
185 4 1 -12.713959 9.638337 17.792265
186 4 1 -11.735243 9.843554 17.792265
187 4 1 -10.756526 10.048772 17.792265
188 4 1 -9.777810 10.253989 17.792265
189 4 1 -14.359757 10.178104 17.792265
190 4 1 -13.381041 10.383322 17.792265
191 4 1 -12.402324 10.588539 17.792265
192 4 1 -11.423608 10.793756 17.792265
193 4 1 -10.444891 10.998974 17.792265
194 4 1 -9.466175 11.204191 17.792265
195 4 1 -15.026839 10.923089 17.792265
196 4 1 -14.048122 11.128306 17.792265
197 4 1 -13.069406 11.333524 17.792265
198 4 1 -12.090690 11.538741 17.792265
199 4 1 -11.111973 11.743958 17.792265
200 4 1 -10.133257 11.949176 17.792265
201 4 1 -9.154540 12.154393 17.792265
202 4 1 -15.693921 11.668073 17.792265
203 4 1 -14.715204 11.873291 17.792265
204 4 1 -13.736488 12.078508 17.792265
205 4 1 -12.757771 12.283726 17.792265
206 4 1 -11.779055 12.488943 17.792265
207 4 1 -10.800338 12.694160 17.792265
208 4 1 -9.821622 12.899378 17.792265
209 4 1 -8.842906 13.104595 17.792265
210 4 1 -16.361002 12.413058 17.792265
211 4 1 -15.382286 12.618275 17.792265
212 4 1 -14.403569 12.823493 17.792265
213 4 1 -13.424853 13.028710 17.792265
214 4 1 -12.446137 13.233928 17.792265
215 4 1 -11.467420 13.439145 17.792265
216 4 1 -10.488704 13.644362 17.792265
217 4 1 -9.509987 13.849580 17.792265
218 4 1 -8.531271 14.054797 17.792265
219 4 1 -16.049367 13.363260 17.792265
220 4 1 -15.070651 13.568477 17.792265
221 4 1 -14.091935 13.773695 17.792265
222 4 1 -13.113218 13.978912 17.792265
223 4 1 -12.134502 14.184130 17.792265
224 4 1 -11.155785 14.389347 17.792265
225 4 1 -10.177069 14.594564 17.792265
226 4 1 -9.198353 14.799782 17.792265
227 4 1 -15.737733 14.313462 17.792265
228 4 1 -14.759016 14.518679 17.792265
229 4 1 -13.780300 14.723897 17.792265
230 4 1 -12.801584 14.929114 17.792265
231 4 1 -11.822867 15.134331 17.792265
232 4 1 -10.844151 15.339549 17.792265
233 4 1 -9.865434 15.544766 17.792265
234 4 1 -15.426098 15.263664 17.792265
235 4 1 -14.447382 15.468881 17.792265
236 4 1 -13.468665 15.674099 17.792265
237 4 1 -12.489949 15.879316 17.792265
238 4 1 -11.511232 16.084533 17.792265
239 4 1 -10.532516 16.289751 17.792265
240 4 1 -15.114463 16.213866 17.792265
241 4 1 -14.135747 16.419083 17.792265
242 4 1 -13.157030 16.624301 17.792265
243 4 1 -12.178314 16.829518 17.792265
244 4 1 -11.199598 17.034735 17.792265
245 5 1 13.447578 -6.758675 2.331261
246 5 1 12.773882 -6.019667 2.331261
247 5 1 12.100185 -5.280659 2.331261
248 5 1 11.426488 -4.541651 2.331261
249 5 1 10.752791 -3.802643 2.331261
250 5 1 13.144427 -7.711617 2.331261
251 5 1 12.470730 -6.972610 2.331261
252 5 1 11.797033 -6.233602 2.331261
253 5 1 11.123337 -5.494594 2.331261
254 5 1 10.449640 -4.755586 2.331261
255 5 1 9.775943 -4.016578 2.331261
256 5 1 12.841276 -8.664560 2.331261
257 5 1 12.167579 -7.925552 2.331261
258 5 1 11.493882 -7.186544 2.331261
259 5 1 10.820185 -6.447536 2.331261
260 5 1 10.146489 -5.708528 2.331261
261 5 1 9.472792 -4.969520 2.331261
262 5 1 8.799095 -4.230512 2.331261
263 5 1 12.538124 -9.617502 2.331261
264 5 1 11.864428 -8.878494 2.331261
265 5 1 11.190731 -8.139486 2.331261
266 5 1 10.517034 -7.400478 2.331261
267 5 1 9.843337 -6.661471 2.331261
268 5 1 9.169641 -5.922463 2.331261
269 5 1 8.495944 -5.183455 2.331261
270 5 1 7.822247 -4.444447 2.331261
271 5 1 12.234973 -10.570445 2.331261
272 5 1 11.561276 -9.831437 2.331261
273 5 1 10.887580 -9.092429 2.331261
274 5 1 10.213883 -8.353421 2.331261
275 5 1 9.540186 -7.614413 2.331261
276 5 1 8.866489 -6.875405 2.331261
277 5 1 8.192793 -6.136397 2.331261
278 5 1 7.519096 -5.397389 2.331261
279 5 1 6.845399 -4.658381 2.331261
280 5 1 11.258125 -10.784379 2.331261
281 5 1 10.584428 -10.045371 2.331261
282 5 1 9.910732 -9.306363 2.331261
283 5 1 9.237035 -8.567355 2.331261
284 5 1 8.563338 -7.828347 2.331261
285 5 1 7.889641 -7.089339 2.331261
286 5 1 7.215945 -6.350331 2.331261
287 5 1 6.542248 -5.611324 2.331261
288 5 1 10.281277 -10.998314 2.331261
289 5 1 9.607580 -10.259306 2.331261
290 5 1 8.933884 -9.520298 2.331261
291 5 1 8.260187 -8.781290 2.331261
292 5 1 7.586490 -8.042282 2.331261
293 5 1 6.912793 -7.303274 2.331261
294 5 1 6.239097 -6.564266 2.331261
295 5 1 9.304429 -11.212248 2.331261
296 5 1 8.630732 -10.473240 2.331261
297 5 1 7.957035 -9.734232 2.331261
298 5 1 7.283339 -8.995224 2.331261
299 5 1 6.609642 -8.256216 2.331261
300 5 1 5.935945 -7.517208 2.331261
301 5 1 8.327581 -11.426183 2.331261
302 5 1 7.653884 -10.687175 2.331261
303 5 1 6.980187 -9.948167 2.331261
304 5 1 6.306491 -9.209159 2.331261
305 5 1 5.632794 -8.470151 2.331261
306 6 1 5.986196 -16.648911 -3.528893
307 6 1 4.993138 -16.531285 -3.528893
308 6 1 4.000080 -16.413659 -3.528893
309 6 1 3.007022 -16.296033 -3.528893
310 6 1 2.013964 -16.178408 -3.528893
311 6 1 6.380858 -17.567737 -3.528893
312 6 1 5.387800 -17.450111 -3.528893
313 6 1 4.394742 -17.332486 -3.528893
314 6 1 3.401684 -17.214860 -3.528893
315 6 1 2.408626 -17.097234 -3.528893
316 6 1 1.415568 -16.979608 -3.528893
317 6 1 6.775520 -18.486563 -3.528893
318 6 1 5.782462 -18.368938 -3.528893
319 6 1 4.789404 -18.251312 -3.528893
320 6 1 3.796346 -18.133686 -3.528893
321 6 1 2.803289 -18.016060 -3.528893
322 6 1 1.810231 -17.898435 -3.528893
323 6 1 0.817173 -17.780809 -3.528893
324 6 1 7.170183 -19.405390 -3.528893
325 6 1 6.177125 -19.287764 -3.528893
326 6 1 5.184067 -19.170138 -3.528893
327 6 1 4.191009 -19.052512 -3.528893
328 6 1 3.197951 -18.934887 -3.528893
329 6 1 2.204893 -18.817261 -3.528893
330 6 1 1.211835 -18.699635 -3.528893
331 6 1 0.218777 -18.582009 -3.528893
332 6 1 7.564845 -20.324216 -3.528893
333 6 1 6.571787 -20.206590 -3.528893
334 6 1 5.578729 -20.088965 -3.528893
335 6 1 4.585671 -19.971339 -3.528893
336 6 1 3.592613 -19.853713 -3.528893
337 6 1 2.599555 -19.736087 -3.528893
338 6 1 1.606497 -19.618462 -3.528893
339 6 1 0.613439 -19.500836 -3.528893
340 6 1 -0.379619 -19.383210 -3.528893
341 6 1 6.966449 -21.125417 -3.528893
342 6 1 5.973391 -21.007791 -3.528893
343 6 1 4.980333 -20.890165 -3.528893
344 6 1 3.987275 -20.772539 -3.528893
345 6 1 2.994217 -20.654914 -3.528893
346 6 1 2.001159 -20.537288 -3.528893
347 6 1 1.008101 -20.419662 -3.528893
348 6 1 0.015043 -20.302036 -3.528893
349 6 1 6.368053 -21.926617 -3.528893
350 6 1 5.374995 -21.808991 -3.528893
351 6 1 4.381937 -21.691366 -3.528893
352 6 1 3.388879 -21.573740 -3.528893
353 6 1 2.395821 -21.456114 -3.528893
354 6 1 1.402763 -21.338488 -3.528893
355 6 1 0.409705 -21.220863 -3.528893
356 6 1 5.769657 -22.727818 -3.528893
357 6 1 4.776599 -22.610192 -3.528893
358 6 1 3.783541 -22.492566 -3.528893
359 6 1 2.790483 -22.374940 -3.528893
360 6 1 1.797425 -22.257315 -3.528893
361 6 1 0.804367 -22.139689 -3.528893
362 6 1 5.171261 -23.529018 -3.528893
363 6 1 4.178203 -23.411393 -3.528893
364 6 1 3.185145 -23.293767 -3.528893
365 6 1 2.192087 -23.176141 -3.528893
366 6 1 1.199029 -23.058515 -3.528893
367 7 1 -12.722748 5.877960 1.655623
368 7 1 -13.633936 6.289950 1.655623
369 7 1 -14.545125 6.701940 1.655623
370 7 1 -15.456313 7.113930 1.655623
371 7 1 -16.367501 7.525920 1.655623
372 7 1 -12.623948 4.882852 1.655623
373 7 1 -13.535136 5.294842 1.655623
374 7 1 -14.446325 5.706833 1.655623
375 7 1 -15.357513 6.118823 1.655623
376 7 1 -16.268701 6.530813 1.655623
377 7 1 -17.179889 6.942803 1.655623
378 7 1 -12.525148 3.887745 1.655623
379 7 1 -13.436336 4.299735 1.655623
380 7 1 -14.347524 4.711725 1.655623
381 7 1 -15.258713 5.123715 1.655623
382 7 1 -16.169901 5.535706 1.655623
383 7 1 -17.081089 5.947696 1.655623
384 7 1 -17.992278 6.359686 1.655623
385 7 1 -12.426347 2.892638 1.655623
386 7 1 -13.337536 3.304628 1.655623
387 7 1 -14.248724 3.716618 1.655623
388 7 1 -15.159912 4.128608 1.655623
389 7 1 -16.071101 4.540598 1.655623
390 7 1 -16.982289 4.952588 1.655623
391 7 1 -17.893477 5.364579 1.655623
392 7 1 -18.804666 5.776569 1.655623
393 7 1 -12.327547 1.897530 1.655623
394 7 1 -13.238736 2.309521 1.655623
395 7 1 -14.149924 2.721511 1.655623
396 7 1 -15.061112 3.133501 1.655623
397 7 1 -15.972300 3.545491 1.655623
398 7 1 -16.883489 3.957481 1.655623
399 7 1 -17.794677 4.369471 1.655623
400 7 1 -18.705865 4.781461 1.655623
401 7 1 -19.617054 5.193452 1.655623
402 7 1 -13.139935 1.314413 1.655623
403 7 1 -14.051124 1.726403 1.655623
404 7 1 -14.962312 2.138394 1.655623
405 7 1 -15.873500 2.550384 1.655623
406 7 1 -16.784689 2.962374 1.655623
407 7 1 -17.695877 3.374364 1.655623
408 7 1 -18.607065 3.786354 1.655623
409 7 1 -19.518253 4.198344 1.655623
410 7 1 -13.952323 0.731296 1.655623
411 7 1 -14.863512 1.143286 1.655623
412 7 1 -15.774700 1.555276 1.655623
413 7 1 -16.685888 1.967267 1.655623
414 7 1 -17.597077 2.379257 1.655623
415 7 1 -18.508265 2.791247 1.655623
416 7 1 -19.419453 3.203237 1.655623
417 7 1 -14.764711 0.148179 1.655623
418 7 1 -15.675900 0.560169 1.655623
419 7 1 -16.587088 0.972159 1.655623
420 7 1 -17.498276 1.384149 1.655623
421 7 1 -18.409465 1.796140 1.655623
422 7 1 -19.320653 2.208130 1.655623
423 7 1 -15.577099 -0.434938 1.655623
424 7 1 -16.488288 -0.022948 1.655623
425 7 1 -17.399476 0.389042 1.655623
426 7 1 -18.310664 0.801032 1.655623
427 7 1 -19.221853 1.213022 1.655623
428 8 1 3.830495 -12.235858 16.905770
429 8 1 4.827632 -12.311478 16.905770
430 8 1 5.824769 -12.387097 16.905770
431 8 1 6.821906 -12.462717 16.905770
432 8 1 7.819042 -12.538337 16.905770
433 8 1 3.397416 -11.334502 16.905770
434 8 1 4.394552 -11.410122 16.905770
435 8 1 5.391689 -11.485742 16.905770
436 8 1 6.388826 -11.561362 16.905770
437 8 1 7.385962 -11.636981 16.905770
438 8 1 8.383099 -11.712601 16.905770
439 8 1 2.964336 -10.433147 16.905770
440 8 1 3.961473 -10.508766 16.905770
441 8 1 4.958609 -10.584386 16.905770
442 8 1 5.955746 -10.660006 16.905770
443 8 1 6.952883 -10.735626 16.905770
444 8 1 7.950019 -10.811245 16.905770
445 8 1 8.947156 -10.886865 16.905770
446 8 1 2.531256 -9.531791 16.905770
447 8 1 3.528393 -9.607411 16.905770
448 8 1 4.525530 -9.683031 16.905770
449 8 1 5.522666 -9.758650 16.905770
450 8 1 6.519803 -9.834270 16.905770
451 8 1 7.516940 -9.909890 16.905770
452 8 1 8.514076 -9.985510 16.905770
453 8 1 9.511213 -10.061129 16.905770
454 8 1 2.098176 -8.630435 16.905770
455 8 1 3.095313 -8.706055 16.905770
456 8 1 4.092450 -8.781675 16.905770
457 8 1 5.089587 -8.857295 16.905770
458 8 1 6.086723 -8.932914 16.905770
459 8 1 7.083860 -9.008534 16.905770
460 8 1 8.080997 -9.084154 16.905770
461 8 1 9.078133 -9.159774 16.905770
462 8 1 10.075270 -9.235394 16.905770
463 8 1 2.662233 -7.804700 16.905770
464 8 1 3.659370 -7.880319 16.905770
465 8 1 4.656507 -7.955939 16.905770
466 8 1 5.653644 -8.031559 16.905770
467 8 1 6.650780 -8.107179 16.905770
468 8 1 7.647917 -8.182798 16.905770
469 8 1 8.645054 -8.258418 16.905770
470 8 1 9.642190 -8.334038 16.905770
471 8 1 3.226290 -6.978964 16.905770
472 8 1 4.223427 -7.054583 16.905770
473 8 1 5.220564 -7.130203 16.905770
474 8 1 6.217701 -7.205823 16.905770
475 8 1 7.214837 -7.281443 16.905770
476 8 1 8.211974 -7.357063 16.905770
477 8 1 9.209111 -7.432682 16.905770
478 8 1 3.790347 -6.153228 16.905770
479 8 1 4.787484 -6.228848 16.905770
480 8 1 5.784621 -6.304467 16.905770
481 8 1 6.781758 -6.380087 16.905770
482 8 1 7.778894 -6.455707 16.905770
483 8 1 8.776031 -6.531327 16.905770
484 8 1 4.354404 -5.327492 16.905770
485 8 1 5.351541 -5.403112 16.905770
486 8 1 6.348678 -5.478732 16.905770
487 8 1 7.345815 -5.554351 16.905770
488 8 1 8.342951 -5.629971 16.905770
489 9 1 11.737728 -18.903226 -8.262820
490 9 1 11.909665 -17.918118 -8.262820
491 9 1 12.081602 -16.933010 -8.262820
492 9 1 12.253538 -15.947902 -8.262820
493 9 1 12.425475 -14.962794 -8.262820
494 9 1 10.798631 -19.246878 -8.262820
495 9 1 10.970568 -18.261770 -8.262820
496 9 1 11.142505 -17.276662 -8.262820
497 9 1 11.314441 -16.291554 -8.262820
498 9 1 11.486378 -15.306446 -8.262820
499 9 1 11.658315 -14.321338 -8.262820
500 9 1 9.859534 -19.590531 -8.262820
501 9 1 10.031471 -18.605423 -8.262820
502 9 1 10.203408 -17.620315 -8.262820
503 9 1 10.375345 -16.635207 -8.262820
504 9 1 10.547281 -15.650099 -8.262820
505 9 1 10.719218 -14.664991 -8.262820
506 9 1 10.891155 -13.679883 -8.262820
507 9 1 8.920437 -19.934183 -8.262820
508 9 1 9.092374 -18.949075 -8.262820
509 9 1 9.264311 -17.963967 -8.262820
510 9 1 9.436248 -16.978859 -8.262820
511 9 1 9.608184 -15.993751 -8.262820
512 9 1 9.780121 -15.008643 -8.262820
513 9 1 9.952058 -14.023535 -8.262820
514 9 1 10.123995 -13.038427 -8.262820
515 9 1 7.981340 -20.277835 -8.262820
516 9 1 8.153277 -19.292727 -8.262820
517 9 1 8.325214 -18.307619 -8.262820
518 9 1 8.497151 -17.322511 -8.262820
519 9 1 8.669087 -16.337404 -8.262820
520 9 1 8.841024 -15.352296 -8.262820
521 9 1 9.012961 -14.367188 -8.262820
522 9 1 9.184898 -13.382080 -8.262820
523 9 1 9.356834 -12.396972 -8.262820
524 9 1 7.214180 -19.636380 -8.262820
525 9 1 7.386117 -18.651272 -8.262820
526 9 1 7.558054 -17.666164 -8.262820
527 9 1 7.729991 -16.681056 -8.262820
528 9 1 7.901927 -15.695948 -8.262820
529 9 1 8.073864 -14.710840 -8.262820
530 9 1 8.245801 -13.725732 -8.262820
531 9 1 8.417737 -12.740624 -8.262820
532 9 1 6.447020 -18.994924 -8.262820
533 9 1 6.618957 -18.009816 -8.262820
534 9 1 6.790894 -17.024708 -8.262820
535 9 1 6.962830 -16.039600 -8.262820
536 9 1 7.134767 -15.054492 -8.262820
537 9 1 7.306704 -14.069384 -8.262820
538 9 1 7.478641 -13.084276 -8.262820
539 9 1 5.679860 -18.353469 -8.262820
540 9 1 5.851797 -17.368361 -8.262820
541 9 1 6.023733 -16.383253 -8.262820
542 9 1 6.195670 -15.398145 -8.262820
543 9 1 6.367607 -14.413037 -8.262820
544 9 1 6.539544 -13.427929 -8.262820
545 9 1 4.912700 -17.712013 -8.262820
546 9 1 5.084636 -16.726905 -8.262820
547 9 1 5.256573 -15.741797 -8.262820
548 9 1 5.428510 -14.756689 -8.262820
549 9 1 5.600447 -13.771581 -8.262820
550 10 1 7.929264 -0.234456 0.085788
551 10 1 8.542755 0.555245 0.085788
552 10 1 9.156246 1.344947 0.085788
553 10 1 9.769737 2.134649 0.085788
554 10 1 10.383228 2.924350 0.085788
555 10 1 6.938617 -0.098008 0.085788
556 10 1 7.552108 0.691693 0.085788
557 10 1 8.165599 1.481395 0.085788
558 10 1 8.779090 2.271097 0.085788
559 10 1 9.392581 3.060798 0.085788
560 10 1 10.006072 3.850500 0.085788
561 10 1 5.947969 0.038440 0.085788
562 10 1 6.561460 0.828141 0.085788
563 10 1 7.174951 1.617843 0.085788
564 10 1 7.788442 2.407545 0.085788
565 10 1 8.401934 3.197246 0.085788
566 10 1 9.015425 3.986948 0.085788
567 10 1 9.628916 4.776650 0.085788
568 10 1 4.957322 0.174887 0.085788
569 10 1 5.570813 0.964589 0.085788
570 10 1 6.184304 1.754291 0.085788
571 10 1 6.797795 2.543993 0.085788
572 10 1 7.411286 3.333694 0.085788
573 10 1 8.024777 4.123396 0.085788
574 10 1 8.638268 4.913098 0.085788
575 10 1 9.251759 5.702799 0.085788
576 10 1 3.966675 0.311335 0.085788
577 10 1 4.580166 1.101037 0.085788
578 10 1 5.193657 1.890739 0.085788
579 10 1 5.807148 2.680441 0.085788
580 10 1 6.420639 3.470142 0.085788
581 10 1 7.034130 4.259844 0.085788
582 10 1 7.647621 5.049546 0.085788
583 10 1 8.261112 5.839247 0.085788
584 10 1 8.874603 6.628949 0.085788
585 10 1 3.589519 1.237485 0.085788
586 10 1 4.203010 2.027187 0.085788
587 10 1 4.816501 2.816888 0.085788
588 10 1 5.429992 3.606590 0.085788
589 10 1 6.043483 4.396292 0.085788
590 10 1 6.656974 5.185994 0.085788
591 10 1 7.270465 5.975695 0.085788
592 10 1 7.883956 6.765397 0.085788
593 10 1 3.212363 2.163635 0.085788
594 10 1 3.825854 2.953336 0.085788
595 10 1 4.439345 3.743038 0.085788
